First Name,Last Name,Nickname,Section,Email Address,Status
George,Washington,George W.,1776,gwashington@example.edu,P
Thomas,Jefferson,Tom,1776,tjefferson@example.edu,P
Alexander,Hamilton,Alex,1776,ahamilton@example.edu,P
John,Adams,John A.,1776,jadams@example.edu,P
Benjamin,Franklin,Ben,1776,bfranklin@example.edu,P
John,Jay,John J.,1776,jjay@example.edu,P
James,Madison,James,1776,jmadison@example.edu,P
John,Hancock,John H.,1776,jhancock@example.edu,P
Samuel,Adams,Sam,1776,sadams@example.edu,P
George,Mason,George M.,1776,gmason@example.edu,P
Patrick,Henry,Pat,1776,phenry@example.edu,P
